Categoria,App,Paquete,Horas_Anio(16mar-25ago),Aperturas_Anio,Horas_Mes(2-25ago),Aperturas_Mes,Horas_Semana(21-25ago),Aperturas_Semana,Horas_Hoy(24-25ago),Aperturas_Hoy
Redes sociales,TikTok,com.zhiliaoapp.musically,355.396,1726,45.907,313,10.281,75,1.768,4
Streaming y entretenimiento,Max (HBO),com.wbd.stream,130.857,253,29.188,74,4.278,15,0.589,5
Redes sociales,WhatsApp,com.whatsapp,105.304,3233,7.902,436,1.958,138,0.008,5
Redes sociales,Instagram,com.instagram.android,85.188,1128,7.964,110,1.081,22,0.366,3
Navegación y búsqueda,Chrome,com.android.chrome,28.068,1474,3.526,239,0.258,32,0.003,1
Streaming y entretenimiento,Netflix,com.netflix.mediaclient,17.721,53,0.03,4,0.0,0,0.0,0
Navegación y búsqueda,Google App,com.google.android.googlequicksearchbox,17.529,1927,2.039,264,0.225,36,0.0,0
Streaming y entretenimiento,YouTube,com.google.android.youtube,15.305,162,0.087,6,0.008,4,0.0,0
Sistema y utilidades,Inicio (launcher),com.sec.android.app.launcher,14.683,10106,1.998,1569,0.371,347,0.026,18
Navegación y búsqueda,Google Maps,com.google.android.apps.maps,11.051,861,1.512,125,0.409,36,0.029,1
Transporte y delivery,Uber,com.ubercab,8.742,579,1.389,77,0.229,16,0.0,0
Finanzas y bancos,Mercado Pago,com.mercadopago.wallet,7.805,435,3.995,92,0.233,27,0.018,2
Compras,Mercado Libre,com.mercadolibre,7.237,359,1.576,78,0.02,3,0.0,0
Trabajo y productividad,Slack,com.Slack,5.338,368,0.795,57,0.024,5,0.004,2
Sistema y utilidades,Reloj,com.sec.android.app.clockpackage,5.258,715,0.43,90,0.115,17,0.049,5
Transporte y delivery,Rappi,com.grability.rappi,4.941,211,0.804,28,0.0,0,0.0,0
Transporte y delivery,Cabify,com.cabify.rider,4.509,407,0.438,42,0.252,14,0.0,0
Finanzas y bancos,Banco Galicia,com.mosync.app_Banco_Galicia,2.889,274,0.558,53,0.109,10,0.033,3
Redes sociales,Facebook,com.facebook.katana,2.779,61,0.346,15,0.0,0,0.0,0
Streaming y entretenimiento,Onvideo,ar.onvideo,2.625,22,0.0,0,0.0,0,0.0,0
Compras,Airbnb,com.airbnb.android,2.493,56,0.952,34,0.14,11,0.0,0
Sistema y utilidades,Galería,com.sec.android.gallery3d,2.381,261,0.352,32,0.066,7,0.0,0
Trabajo y productividad,Gmail,com.google.android.gm,2.26,362,0.512,78,0.123,20,0.035,3
Sistema y utilidades,Cámara,com.sec.android.app.camera,2.238,395,0.284,47,0.052,14,0.0,0
Finanzas y bancos,BBVA,com.bbva.nxt_argentina,1.993,194,0.254,38,0.014,3,0.0,0
Transporte y delivery,PedidosYa,com.pedidosya,1.904,100,0.252,17,0.0,0,0.0,0
Streaming y entretenimiento,Spotify,com.spotify.music,1.817,212,0.251,21,0.138,5,0.0,0
Sistema y utilidades,Llamadas,com.samsung.android.incallui,1.748,118,0.325,31,0.006,1,0.0,0
Sistema y utilidades,Calculadora,com.sec.android.app.popupcalculator,1.73,222,0.173,28,0.007,2,0.0,0
Streaming y entretenimiento,Disney+,com.disney.disneyplus,1.424,18,0.043,2,0.043,2,0.0,0
Navegación y búsqueda,Internet,com.sec.android.app.sbrowser,1.27,125,0.059,3,0.0,0,0.0,0
Redes sociales,WhatsApp Business,com.whatsapp.w4b,1.148,108,0.624,47,0.056,4,0.0,0
Otros,Jbwbaw,io.gonative.android.jbwbaw,1.131,99,0.102,11,0.008,1,0.0,0
Trabajo y productividad,Calendario,com.samsung.android.calendar,1.044,322,0.182,65,0.02,7,0.014,2
Compras,Ads,ar.com.osde.ads,0.803,77,0.171,20,0.058,6,0.0,0
Compras,Mcdonalds,com.mcdo.mcdonalds,0.766,36,0.029,5,0.0,0,0.0,0
Transporte y delivery,Indriver,sinet.startup.inDriver,0.659,53,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Configuración,com.android.settings,0.621,171,0.093,23,0.036,9,0.033,6
Finanzas y bancos,Westernunionwallet,com.westernunionwallet,0.62,129,0.0,0,0.0,0,0.0,0
Finanzas y bancos,TD Bank,com.tdbank,0.528,74,0.052,8,0.026,3,0.0,0
Finanzas y bancos,Authenticator,com.google.android.apps.authenticator2,0.455,42,0.003,1,0.0,0,0.0,0
Transporte y delivery,App,com.sube.app,0.43,71,0.001,1,0.0,0,0.0,0
Trabajo y productividad,Notes,com.samsung.android.app.notes,0.417,94,0.068,44,0.033,28,0.0,0
Sistema y utilidades,Daemonapp,com.sec.android.daemonapp,0.39,111,0.004,6,0.0,0,0.0,0
Redes sociales,Orca,com.facebook.orca,0.331,15,0.032,2,0.0,0,0.0,0
Finanzas y bancos,Modo,com.playdigital.modo,0.266,22,0.089,8,0.0,0,0.0,0
Sistema y utilidades,Vending,com.android.vending,0.26,67,0.011,4,0.0,1,0.0,0
Streaming y entretenimiento,Kids,com.google.android.apps.youtube.kids,0.247,2,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Dialer,com.samsung.android.dialer,0.245,116,0.068,22,0.0,0,0.0,0
Streaming y entretenimiento,Myminerva,ar.com.cablevision.attv.android.myminerva,0.24,12,0.0,0,0.0,0,0.0,0
Gobierno y trámites,Argentinagobar,ar.gob.argentinagobar,0.156,11,0.028,2,0.0,0,0.0,0
Sistema y utilidades,Gms,com.google.android.gms,0.133,127,0.015,8,0.001,1,0.0,0
Gobierno y trámites,Ar,com.services.movistar.ar,0.131,35,0.089,20,0.0,0,0.0,0
Gobierno y trámites,Mi_afip,ar.gob.afip.mobile.android.contribuyentes.mi_afip,0.128,5,0.0,0,0.0,0,0.0,0
Finanzas y bancos,Jpm,com.ypf.jpm,0.125,11,0.0,0,0.0,0,0.0,0
Finanzas y bancos,Custom,ar.com.redlink.custom,0.114,2,0.114,2,0.0,0,0.0,0
Bienestar digital,Pasito,ar.pasito.pasito,0.106,10,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Captiveportallogin,com.google.android.captiveportallogin,0.091,6,0.001,1,0.0,0,0.0,0
Sistema y utilidades,Intentresolver,com.android.intentresolver,0.084,86,0.016,13,0.006,5,0.001,1
Sistema y utilidades,Telephonyui,com.samsung.android.app.telephonyui,0.081,17,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Uiservice,com.sec.android.desktopmode.uiservice,0.079,4,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Photos,com.google.android.apps.photos,0.076,6,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Photoretouching,com.sec.android.mimage.photoretouching,0.076,14,0.004,1,0.0,0,0.0,0
Sistema y utilidades,Voc,com.samsung.android.voc,0.061,7,0.004,2,0.0,0,0.0,0
Bienestar digital,Forest,com.samsung.android.forest,0.059,4,0.058,3,0.023,1,0.023,1
Sistema y utilidades,Wssyncmldm,com.wssyncmldm,0.058,47,0.014,8,0.0,0,0.0,0
Streaming y entretenimiento,Havi,com.yscoco.havi,0.058,8,0.0,0,0.0,0,0.0,0
Trabajo y productividad,Messaging,com.google.android.apps.messaging,0.058,7,0.002,1,0.0,0,0.0,0
